"","Name","Genre 1","Genre 2","Genre 3","All_Time_Peak","positive_ratings","negative_ratings"
"573","Argo","Action","Free to Play",NA,6659,4438,4973
"574","Alan Wake","Action","Adventure",NA,6652,22962,2163
"575","Gold Rush: The Game","Indie","Simulation",NA,6625,3176,1787
"576","Sven Co-op","Action","Casual","Free to Play",6572,12211,1173
"577","PRO EVOLUTION SOCCER 2019","Sports",NA,NA,6551,1619,2217
"578","Electric Circuit","Casual","Indie",NA,6546,33,9
"579","Portal Knights","Action","Adventure","RPG",6545,10837,2531
"580","Heaven Forest NIGHTS","Action","Adventure",NA,6532,185,93
"581","MU Legend","Action","Adventure","Free to Play",6531,885,1050
"582","Blood Bowl 2","Sports","Strategy",NA,6511,2734,1085
"583","ArcheAge","Free to Play","Massively Multiplayer","RPG",6509,3195,3033
"584","Saints Row 2","Action",NA,NA,6509,9442,2881
"585","Yooka-Laylee","Action","Adventure","Indie",6508,2434,791
"586","Freddy Fazbear's Pizzeria Simulator","Free to Play","Indie","Simulation",6492,7846,580
"587","Wizard of Legend","Action","Adventure","Indie",6487,3990,535
"588","Race The Sun","Action","Indie","Racing",6455,5258,343
"589","Invasion: Brain Craving","Action","Adventure","Casual",6446,115,151
"590","Jamestown","Action","Indie",NA,6432,1955,103
"591","Magicka 2","Action","Adventure",NA,6426,4873,1382
"592","FINAL FANTASY VII","RPG",NA,NA,6424,11722,878
"593","Minecraft: Story Mode - A Telltale Games Series","Adventure",NA,NA,6423,6041,1948
"594","Amber Tail Adventure","Action","Adventure",NA,6396,13,15
"595","GRAV","Action","Adventure","Indie",6367,3484,3010
"596","Dungeon of Zolthan","Action","Adventure","Indie",6356,329,101
"597","NARUTO TO BORUTO: SHINOBI STRIKER","Action",NA,NA,6310,1937,1574
"598","Galactic Civilizations III","Indie","Strategy",NA,6297,6051,1891
"599","Burnout Paradise: The Ultimate Box","Racing",NA,NA,6284,9739,1487
"600","Heaven Forest - VR MMO","Adventure","Massively Multiplayer",NA,6271,292,136
"601","Realm Grinder","Free to Play","RPG","Strategy",6265,2266,463
"602","Motorsport Manager","Racing","Simulation","Sports",6251,4278,488
"603","A grande bagunça espacial - The big space mess","Action","Casual","Indie",6242,639,386
"604","Moonlighter","Action","Adventure","Indie",6229,3035,833
